factory_type,name,coordinates,address,local_government,annual_throughput,remarks,industrial_waste
incineration_facility,北十勝2町環境衛生処理組合ごみ処理施設,"[142.476227, 43.932865]",北海道比布町北十線,北十勝2町環境衛生処理組合(北海道),1901,,無し
incineration_facility,釧路広域連合清掃工場,"[144.46608, 42.996174]",北海道釧路総合振興局,釧路広域連合(北海道),62700,,無し
incineration_facility,西紋別地区広域ごみ処理センター,"[141.300903, 43.074455]",北海道札幌市西区,西紋別地区環境衛生施設組合(北海道),7379,,無し
incineration_facility,青森市清掃工場,"[140.657318, 40.904491]",青森県青森市清水,青森市(青森県),91452,,有り
incineration_facility,三沢市清掃センター,"[141.36908, 40.683071]",青森県三沢市,三沢市(青森県),13841,,無し
incineration_facility,外ヶ浜町ごみ処理施設,"[140.632431, 41.043259]",青森県外ヶ浜町,外ヶ浜町(青森県),2049.58,,無し
incineration_facility,弘前地区環境整備センター,"[140.464035, 40.603096]",青森県弘前市,弘前地区環境整備事務組合(青森県),42439,,無し
incineration_facility,三戸地区クリーンセンター,"[141.258743, 40.378445]",青森県三戸郡,三戸地区環境整備事務組合(青森県),8073,,無し
incineration_facility,八戸清掃工場第一工場,"[141.488449, 40.512302]",青森県八戸市,八戸地域広域市町村圏事務組合(青森県),49585,,無し
incineration_facility,八戸清掃工場第二工場,"[141.488449, 40.512302]",青森県八戸市,八戸地域広域市町村圏事務組合(青森県),21377,,無し
incineration_facility,十和田地域広域事務組合十和田ごみ焼却施設,"[141.205383, 40.612507]",青森県十和田市,十和田地域広域事務組合(青森県),33551,,無し
incineration_facility,盛岡市クリーンセンター,"[141.154465, 39.702068]",岩手県盛岡市,盛岡市(岩手県),66580,,無し
incineration_facility,花巻市清掃センター焼却施設,"[141.116898, 39.388611]",岩手県花巻市,花巻市(岩手県),0,休止,無し
incineration_facility,北上市清掃事業所1号棟,"[141.113235, 39.286774]",岩手県北上市,北上市(岩手県),0,休止,無し
incineration_facility,遠野市清養園クリーンセンターごみ焼却施設,"[141.531387, 39.330688]",岩手県遠野市,遠野市(岩手県),0,休止,無し
incineration_facility,八幡平市清掃センター,"[141.047073, 40.104256]",岩手県八幡平市清水,八幡平市(岩手県),8245,,無し
