name,coordinates,local_government,fill_rate,landfill_site,waste_type,total_volume,facility_status,title
千歳市環境センター旧最終処分場,"[141.651001, 42.821011]",千歳市(北海道),80,平地,直接搬入ごみ・破砕ごみ・中間処理残査・焼却残渣,518230,埋立中,北海道千歳市
滝川市一般廃棄物最終処分場,"[141.906143, 43.564274]",滝川市(北海道),45,平地,不燃ごみ・直接搬入ごみ・破砕ごみ・中間処理残査・焼却残渣,163600,埋立中,北海道滝川市一の坂町西
砂川市ごみ処理場,"[141.902527, 43.494328]",砂川市(北海道),40,山間,混合・直接搬入ごみ・粗大ごみ,258000,埋立中,北海道砂川市
歌志内市ごみ埋立処理場,"[142.034485, 43.521393]",歌志内市(北海道),93,山間,混合・直接搬入ごみ・粗大ごみ,91690,埋立中,北海道歌志内市
深川市一般廃棄物最終処分場,"[142.047409, 43.722668]",深川市(北海道),89,山間,混合・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査,282862,埋立中,北海道深川市一条
富良野市一般廃棄物富丘埋立処分場,"[142.383148, 43.34201]",富良野市(北海道),60,山間,焼却残渣,20600,埋立中,北海道富良野市
登別市廃棄物管理型最終処分場,"[141.106674, 42.412777]",登別市(北海道),4,平地,破砕ごみ・中間処理残査・焼却残渣,95000,埋立前,北海道登別市
登別市千歳最終処分場,"[141.11412, 42.434864]",登別市(北海道),100,山間,不燃ごみ・直接搬入ごみ・焼却残渣,1133730,埋立終了,北海道登別市千歳町
恵庭市ごみ処理場,"[141.577774, 42.882584]",恵庭市(北海道),49,平地,可燃ごみ・その他,620400,埋立中,北海道恵庭市
伊達市上館山一般廃棄物最終処分場,"[140.87204, 42.511581]",伊達市(北海道),99,山間,不燃ごみ・その他・直接搬入ごみ・破砕ごみ・中間処理残査・焼却残渣,1063816,埋立中,北海道伊達市上館山町
