上磯町一般廃棄物最終処分場
上磯町ゴミ埋立地
大野町一般廃棄物最終処分場
砂原町最終処分場
八雲町一般廃棄物最終処分場
鷹栖町一般廃棄物最終処分場
歌登町一般廃棄物最終処分場
札文町一般廃棄物埋立処分地施設
女満別町一般廃棄物処理場内最終処分場
清里町一般廃棄物最終処分場
端野町廃棄物処理場
丸瀬布町金山ゴミ捨場
上湧別町廃棄物処理場
豊浦町一般廃棄物最終処分場
虻田町不燃物捨場
洞爺村塵芥最終処分場
大滝村じん芥処理場
三石町じん芥処理場
池田町一般廃棄物最終処分場
阿寒町塵芥処理場
音別町一般廃棄物最終処分場
北後志衛生施設組合北後志清掃センター焼却残灰埋立地
北部桧山衛生センター組合最終処分地施設
渡島西部広域事務組合渡島西部衛生センター
恵山地区衛生処理組合恵山地区クリーンセンター一般廃棄物最終処分場
サロベツ清掃組合最終処分場
胆振東部日高西部衛生組合最終処分場
利尻郡清掃施設組合利尻郡一般廃棄物最終処分場
大雪清掃組合しらかば最終処分場
木造町舘岡埋立処分場
森田村ゴミ処理場
森田村一般廃棄物最終処分場
柏村不燃物処理場
車力村一般廃棄物最終処分場
尾上町最終処分場
平賀町営不燃物処理場
中里町営最終処分場
中里町一般廃棄物最終処分場
市浦村岩井一般廃棄物処理場
川内町一般廃棄物最終処分場
大畑町一般廃棄物最終処分場
福地村不燃物処理場
中部上北広域事業組合中部上北最終処分場（第２期）
中部上北広域事業組合最終処分場（第１期）
中部上北広域事業組合焼却灰専用最終処分場
西海岸衛生処理組合鯵ヶ沢一般廃棄物最終処分場
中津軽郡不燃物等ごみ処理事務組合高森地区埋立処分場
中津軽郡不燃物等ごみ処理事務組合ＥＣクリーンセンター端穂
中津軽郡不燃物等ごみ処理事務組合新岡地区埋立処分場
江刺市不燃性一般廃棄物埋立処分場
滝沢村一般廃棄物最終処分場
湯田町左草町有林ごみ埋立地
胆沢町一般廃棄物最終処分場
衣川村一般廃棄物最終処分場
花泉町一般廃棄物埋立処分場
宮守村一般廃棄物最終処分場
安代町ごみ処理場
中新田町青木原ゴミ埋立場
鳴子町屏風岩最終処分場
雄勝町一般廃棄物最終処分場
河南町一般廃棄物最終処分場
鳴瀬町一般廃棄物最終処分場
北上町一般廃棄物最終処分場
牡鹿町埋立最終処分場
牡鹿町網地島ごみ埋立処分場
本吉町一般廃棄物最終処分場
唐桑町一般廃棄物最終処分場
大崎東部環境衛生事務組合大崎東部一ノ谷クリーンパーク
宮城東部衛生処理センターごみ埋立施設
大崎中央環境組合最終処理センター
仙南地域広域行政事務組合仙南最終処分場
一般廃棄物最終処分場
六の国環境衛生組合環境美化センター
比内町千年岱最終処分場
阿仁町不燃物処理場
合川町ごみ処理施設
琴丘町大沢ごみ処理場
山本町増沢ごみ処理場
山本町清吉根小屋沢ごみ処理場
山本町熊沢ごみ処理場
八竜町第二投棄場
八竜町舞台沢投棄場
若美町申川不燃物埋立処分場
仁賀保町廃棄物処理場
金浦町海老谷地処分場
矢島町最終処分場
岩城町一般廃棄物処理場
由利町一般廃棄物最終処分場
由利町東由利原粗大ごみ処理場
西目町猿田埋立処分場
大内町向山埋立地
神岡町北楢岡地区不燃物処理場
神岡町神宮寺不燃物処理場
西仙北町営上野台不燃物埋立処分場
中仙町一般廃棄物最終処分場
西木村一般廃棄物最終処分場
大覚野一般廃棄物処分場
太田町不燃物最終処分場
千畑町一般廃棄物最終処分場
仙南村不燃物処理場
矢島・鳥海清掃一部事務組合一般廃棄物最終処分場
湖南地区衛生処理組合最終処分場
湖南地区衛生処理組合湖南地区一般廃棄物最終処分場
置賜広域行政事務組合千代田清掃事業所浅川最終処分場
西村山広域行政事務組合寒河江地区クリーンセンター大平埋立処分地
長沼町不燃物最終処分場
岩瀬村梅田ごみ集積場
熱塩加納村営不燃物捨場埋立地
河東町最終処分場
大越町最終処分場
船引町一般廃棄物最終処分場
新地町一般廃棄物最終処分場
会津地区広域事業組合沼平第１最終処分場
会津地区広域事業組合沼平第２最終処分場
西白河地方衛生処理一部事務組合西郷埋立処分場
原町方部環境衛生組合クリーン原町センター（ごみ最終処分場）
安達地方広域行政組合安達埋立処分場
安達地方広域行政組合東和クリーンヒル
猿島郡環境管理事務組合一般廃棄物最終処分場
猿島郡環境管理事務組合一般廃棄物最終処分場
麻生町外２町環境美化センター最終処分場
芳賀郡中部環境衛生事務組合一般廃棄物最終処分場
富士見村他３町村クリーンステーション埋立処分地
妙義町最終処分場
白沢村一般廃棄物最終処分場
水上町一般廃棄物最終処分場
東村一般廃棄物最終処分場
西吾妻環境衛生施設組合与喜屋埋立地
多野藤岡広域圏一般廃棄物最終処分場緑埜クリーンセンター
尾瀬クリーンセンター一般廃棄物最終処分場
大宮市環境広場
大宮市高木第二最終処分場
大井町一般廃棄物最終処分場
三芳町一般廃棄物最終処分場
庄和町中野不燃物埋立地最終処分場
東埼玉資源環境組合最終処分場
埼葛清掃組合一般廃棄物最終処分場
彩北広域清掃組合小針クリーンセンター最終処分場
児玉郡市広域市町村圏組合神泉村一般廃棄物最終処分場
児玉郡市広域市町村圏組合美里一般廃棄物最終処分場（第１期）
東部最終処分場
新内陸最終処分場
佐原市ごみ埋立場
一般廃棄物最終処分場
一般廃棄物最終処分場
一般廃棄物最終処分場
沼南町一般廃棄物最終処分場
大原町一般廃棄物最終処分場
白浜町じん芥埋立地
千倉町清掃センター埋立処分地
千倉町一般廃棄物最終処分場
山武郡環境衛生事業振興組合埋立処分場
山武郡環境衛生事業振興組合一般廃棄物最終処分場
長生郡市広域市町村圏組合一般廃棄物佐貫最終処分場
長生郡市広域市町村圏組合一般廃棄物最終処分場
大島町南部不燃物捨場
西ヶ谷戸最終処分場
足柄東部清掃組合大井処分場
足柄東部清掃組合岩倉処分場
