name,coordinates,address,local_government,annual_throughput,remarks,industrial_waste,resource_recovery,waste_for_processing,processing_method,facility_changes,industrial_waste_transport,reuse_and_repair_features
立谷川リサイクルセンター,"[140.38414, 38.312286]",山形県山形市立谷川,山形広域環境事務組合(山形県),3482,1198,無し,1198,粗大ごみ・不燃ごみ,併用,,機能なし
西村山広域行政事務組合寒河江地区クリーンセンター粗大ごみ処理施設,"[133.288025, 36.328766]",島根県隠岐の島町西村,西村山広域行政事務組合(山形県),692,359,無し,359,粗大ごみ・不燃ごみ,併用,,機能なし
酒田地区広域行政組合粗大ごみ処理施設,"[139.836594, 38.914841]",山形県酒田市,酒田地区広域行政組合(山形県),2271,274,無し,274,粗大ごみ,併用,,機能なし
郡山市河内クリーンセンター,"[140.359741, 37.400555]",福島県郡山市,郡山市(福島県),2238,,無し,,粗大ごみ・不燃ごみ,併用,,機能なし
郡山市富久山クリーンセンター,"[140.367905, 37.434044]",福島県郡山市富久山町八山田,郡山市(福島県),8036.85,6139.43,無し,6139.43,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
山田粗大ごみ処理施設,"[140.700836, 42.865429]",北海道倶知安町山田,いわき市(福島県),0,0,無し,0,粗大ごみ・資源ごみ,破砕,廃止,機能なし
伊達地方衛生処理組合清掃センター粗大ごみ処理施設,"[140.864716, 42.471943]",北海道伊達市,伊達地方衛生処理組合(福島県),0,0,無し,0,粗大ごみ,併用,,機能なし
伊達地方衛生処理組合粗大ごみ処理施設,"[140.864716, 42.471943]",北海道伊達市,伊達地方衛生処理組合(福島県),5033,,無し,,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
石川地方粗大ごみ処理施設,"[140.534744, 40.546299]",青森県弘前市石川,石川地方生活環境施設組合(福島県),1768,1189,無し,1189,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
田村東部環境センター,"[140.576324, 37.440639]",福島県田村郡,田村広域行政組合(福島県),852,,無し,,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
西白河地方リサイクルプラザ,"[141.300903, 43.074455]",北海道札幌市西区,白河地方広域市町村圏整備組合(福島県),5758,3209,無し,3209,粗大ごみ・不燃ごみ・その他・資源ごみ,併用,,修理・譲渡
双葉地方広域市町村圏組合南部衛生センター粗大ごみ処理施設,"[141.071899, 42.764931]",北海道喜茂別町双葉,双葉地方広域市町村圏組合(福島県),510,291,無し,291,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
東部クリーンセンター,"[139.490707, 36.010334]",埼玉県川島町東部,南会津地方環境衛生組合(福島県),801,321,無し,321,粗大ごみ・不燃ごみ・その他・混合（未分別）ごみ,破砕,,機能なし
水戸市清掃工場（リサイクルセンター）,"[140.471588, 36.365852]",茨城県水戸市,水戸市(茨城県),3788,889,無し,889,粗大ごみ・不燃ごみ,圧縮,,機能なし
日立市清掃センター,"[140.65062, 36.599152]",茨城県日立市,日立市(茨城県),2146,531,無し,531,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
土浦市清掃センター,"[140.204193, 36.078354]",茨城県土浦市,土浦市(茨城県),1727,829,無し,829,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
笠間市環境センター,"[140.30426, 36.345196]",茨城県笠間市,笠間市(茨城県),1646,779,無し,779,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
リサイクルセンター,"[141.201093729722, 39.7737528447222]",リサイクルセンター,つくば市(茨城県),4854,1127,無し,1127,粗大ごみ・不燃ごみ,併用,,展示・譲渡
ひたちなか市資源リサイクルセンター,"[140.534729, 36.39669]",茨城県ひたちなか市,ひたちなか市(茨城県),2299,1077,無し,1077,粗大ごみ・不燃ごみ,併用,,修理
鹿嶋市立衛生センターリサイクル施設,"[140.644791, 35.965702]",茨城県鹿嶋市,鹿嶋市(茨城県),4868,1088,有り,1088,粗大ごみ・不燃ごみ,併用,,機能なし
潮来クリーンセンター,"[140.555405, 35.947117]",茨城県潮来市,潮来市(茨城県),808,171,無し,171,粗大ごみ・不燃ごみ,併用,,機能なし
行方市環境美化センター粗大ごみ処理施設,"[140.489014, 35.990482]",茨城県行方市,行方市(茨城県),942,535,無し,535,粗大ごみ・不燃ごみ・資源ごみ,併用,,修理・展示・販売
城里町環境センター,"[140.376328, 36.47924]",茨城県城里町,城里町(茨城県),442,74,無し,74,粗大ごみ,破砕,,機能なし
東海村清掃センター,"[140.566223, 36.472927]",茨城県東海村,東海村(茨城県),0,0,無し,0,,併用,,機能なし
阿見町霞クリーンセンター,"[140.215012, 36.03083]",茨城県阿見町,阿見町(茨城県),1874,640,無し,640,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
大宮地方環境整備組合(環境センター・粗大ごみ処理施設),"[140.747986, 38.582787]",宮城県加美町大宮,大宮地方環境整備組合(茨城県),2422,1048,無し,1048,粗大ごみ・資源ごみ,併用,,機能なし
大洗、鉾田、水戸環境組合クリーンセンター,"[140.574875, 36.313343]",茨城県大洗,大洗、鉾田、水戸環境組合(茨城県),692,456,無し,456,粗大ごみ・不燃ごみ・混合（未分別）ごみ・可燃ごみ,併用,,機能なし
江戸崎地方衛生土木組合圧縮施設,"[140.318985, 35.960327]",茨城県稲敷市江戸崎,江戸崎地方衛生土木組合(茨城県),167,,無し,,不燃ごみ,圧縮,,機能なし
江戸崎地方衛生土木組合破砕施設,"[140.318985, 35.960327]",茨城県稲敷市江戸崎,江戸崎地方衛生土木組合(茨城県),3809,,無し,,粗大ごみ,破砕,,機能なし
筑西広域市町村圏事務組合環境センター,"[139.979401, 36.305267]",茨城県筑西市,筑西広域市町村圏事務組合(茨城県),3131,1069,無し,1069,粗大ごみ・不燃ごみ,併用,,機能なし
霞台厚生施設組合環境センター,"[140.534027, 42.069096]",北海道森町霞台,霞台厚生施設組合(茨城県),,,,,粗大ごみ・不燃ごみ・資源ごみ,併用,廃止,機能なし
霞台厚生施設組合リサイクルセンター,"[140.534027, 42.069096]",北海道森町霞台,霞台厚生施設組合(茨城県),2727,2154,無し,2154,粗大ごみ・不燃ごみ・資源ごみ,併用,新設（新規稼働）,機能なし
足利市南部クリーンセンター（粗大ごみ処理施設）,"[139.422699, 36.321087]",栃木県足利市南大町,足利市(栃木県),1348,1151,無し,1151,粗大ごみ・不燃ごみ,破砕,,機能なし
葛生清掃センター,"[139.790131, 36.161091]",茨城県古河市葛生,佐野市(栃木県),554,316,無し,316,粗大ごみ・不燃ごみ,破砕,,機能なし
佐野市みかもクリーンセンター,"[139.578415, 36.314484]",栃木県佐野市,佐野市(栃木県),1545,486,無し,486,粗大ごみ・不燃ごみ,併用,,修理・展示・販売・譲渡
那須塩原クリーンセンター,"[140.046127, 36.961666]",栃木県那須塩原市,那須塩原市(栃木県),956,386,無し,386,粗大ごみ・不燃ごみ,破砕,,機能なし
保健衛生センター,"[139.844864, 35.879848]",埼玉県吉川市保,南那須地区広域行政事務組合(栃木県),750,360,無し,360,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
小山広域保健衛生組合リサイクルセンター粗大ごみ処理ライン,"[140.877426, 38.163151]",宮城県名取市小山,小山広域保健衛生組合(栃木県),4918,1359,無し,1359,粗大ごみ・不燃ごみ・その他,破砕,,修理・展示・販売
前橋市荻窪清掃工場,"[139.128647, 36.421848]",群馬県前橋市荻窪町,前橋市(群馬県),6909,3004,無し,3004,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
前橋市富士見クリーンステーション,"[139.065674, 36.460396]",群馬県前橋市富士見町引田,前橋市(群馬県),1026,719,無し,719,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
高浜クリーンセンター粗大ごみ処理施設,"[141.946091, 39.60743]",岩手県宮古市高浜,高崎市(群馬県),6687,1635,無し,1635,粗大ごみ・不燃ごみ,併用,,機能なし
吉井クリーンセンター粗大ごみ処理施設,"[139.705338, 35.25037]",神奈川県横須賀市吉井,高崎市(群馬県),778,120,無し,120,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
桐生市清掃センター粗大ごみ処理施設,"[139.325089, 36.40662]",群馬県桐生市清瀬町,桐生市(群馬県),5142,1711,無し,1711,粗大ごみ・不燃ごみ・その他・資源ごみ,併用,,機能なし
伊勢崎市清掃リサイクルセンター21,"[139.196671, 36.311386]",群馬県伊勢崎市,伊勢崎市(群馬県),5621,1832,無し,1832,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
