factory_type,name,coordinates,address,local_government,annual_throughput,remarks,industrial_waste,resource_recovery,waste_for_processing,processing_method,facility_changes,industrial_waste_transport,reuse_and_repair_features
bulky_waste,南部桧山清掃センター,"[140.77626, 42.737492]",北海道真狩村南部,南部桧山衛生処理組合(北海道),2046,174,無し,174,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,日高中部環境センター,"[142.074295, 42.480335]",北海道沙流郡日高町,日高中部衛生施設組合(北海道),1058,139,無し,139,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,愛別町外3町塵芥処理組合富沢衛生センター,"[142.57782, 43.906673]",北海道愛別町,愛別町外3町塵芥処理組合(北海道),2236,326,有り,326,粗大ごみ・不燃ごみ,破砕,,修理・譲渡
bulky_waste,西胆振地域廃棄物広域処理施設,"[141.300903, 43.074455]",北海道札幌市西区,西いぶり広域連合(北海道),7221,1121,無し,1121,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,南後志清掃センター,"[141.634888, 43.081894]",北海道南幌町南,南部後志衛生施設組合(北海道),375,214,無し,214,粗大ごみ・不燃ごみ・その他,併用,,機能なし
bulky_waste,しらかば清掃センター,"[141.692429, 43.014477]",北海道長沼町しらかば,大雪清掃組合(北海道),1418,297,無し,297,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,平取町外2町衛生施設組合清掃センター第2工場(破砕),"[142.128693, 42.58514]",北海道沙流郡平取町,平取町外2町衛生施設組合(北海道),420,190,無し,190,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,留萌南部衛生組合資源化施設,"[141.636932, 43.941006]",北海道留萌振興局,留萌南部衛生組合(北海道),484,108,無し,108,粗大ごみ・その他・混合（未分別）ごみ,併用,,機能なし
bulky_waste,西紋別地区広域ごみ処理センター,"[141.300903, 43.074455]",北海道札幌市西区,西紋別地区環境衛生施設組合(北海道),566,147,無し,147,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,青森市清掃工場,"[140.657318, 40.904491]",青森県青森市清水,青森市(青森県),1492,0,無し,0,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,三沢市粗大ごみ処理施設,"[141.36908, 40.683071]",青森県三沢市,三沢市(青森県),1089,322,無し,322,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,三戸地区粗大ごみ処理施設,"[141.258743, 40.378445]",青森県三戸郡,三戸地区環境整備事務組合(青森県),799,186,無し,186,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,十和田地域広域事務組合十和田粗大ごみ処理施設,"[141.205383, 40.612507]",青森県十和田市,十和田地域広域事務組合(青森県),2156,604,無し,604,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,花巻市清掃センター粗大ごみ処理施設,"[141.116898, 39.388611]",岩手県花巻市,花巻市(岩手県),1080,322,無し,322,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,北上市清掃事業所3号棟,"[141.113235, 39.286774]",岩手県北上市,北上市(岩手県),1051,270.91,無し,270.91,不燃ごみ,破砕,,機能なし
bulky_waste,遠野市清養園クリーンセンター廃棄物再生利用施設,"[141.531387, 39.330688]",岩手県遠野市,遠野市(岩手県),577,263,無し,263,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,陸前高田市粗大ごみ処理施設,"[141.633316, 39.020412]",岩手県陸前高田市,陸前高田市(岩手県),210,,無し,,不燃ごみ・資源ごみ,破砕,,機能なし
bulky_waste,二戸地区クリーンセンター,"[141.30481, 40.271206]",岩手県二戸郡,二戸地区広域行政事務組合(岩手県),1493,496,無し,496,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,久慈地区粗大ごみ処理場,"[141.77565, 40.190449]",岩手県久慈市,久慈広域連合(岩手県),985,402,無し,402,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,一関清掃センターごみ焼却施設粗大ごみ処理施設(前処理用),"[141.126648, 38.934711]",岩手県一関市,一関地区広域行政組合(岩手県),575,0,無し,0,粗大ごみ,破砕,,機能なし
bulky_waste,滝沢清掃センター,"[141.170654, 38.900661]",岩手県一関市滝沢清水尻,滝沢・雫石環境組合(岩手県),1903.55,,有り,,粗大ごみ,破砕,,機能なし
bulky_waste,気仙沼市粗大ごみ処理場,"[141.570068, 38.90807]",宮城県気仙沼市,気仙沼市(宮城県),2351,871,無し,871,粗大ごみ・不燃ごみ・資源ごみ,併用,,機能なし
bulky_waste,登米市環境事業所クリーンセンター（新）,"[141.187683, 38.691895]",宮城県登米市,登米市(宮城県),3622,629,無し,629,粗大ごみ・不燃ごみ,破砕,,機能なし
bulky_waste,栗原市クリーンセンター粗大ごみ処理施設,"[141.021271, 38.730076]",宮城県栗原市,栗原市(宮城県),1852,258,無し,258,粗大ごみ・不燃ごみ,併用,,機能なし
bulky_waste,富谷市清掃センター粗大ごみ処理施設,"[140.895432, 38.399933]",宮城県富谷市,富谷市(宮城県),811,118,無し,118,粗大ごみ・資源ごみ,併用,,機能なし
bulky_waste,亘理清掃センター,"[140.86792, 38.044262]",宮城県亘理郡,亘理名取共立衛生処理組合(宮城県),420,330,無し,330,粗大ごみ・資源ごみ,併用,,機能なし
