都道府県名,地方公共団体名,施設名称,年間処理量,施設の改廃,産業廃棄物の搬入の有無
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合葛飾清掃工場,127211.81,,無し
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合品川清掃工場,131847.33,,無し
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合破砕ごみ処理施設,0,休止,無し
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合大田清掃工場,179023.81,,無し
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合　中防灰溶融施設,0,,無し
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合目黒清掃工場,0,新設（建設中）,無し
東京都,東京二十三区清掃一部事務組合,東京二十三区清掃一部事務組合光が丘清掃工場,86645.34,,無し
東京都,浅川清流環境組合,浅川清流環境組合可燃ごみ処理施設,60458.27,,無し
神奈川県,横浜市,資源循環局金沢工場,257918,,無し
神奈川県,横浜市,資源循環局保土ケ谷工場,0,休止,無し
神奈川県,横浜市,資源循環局都筑工場,263049,,無し
神奈川県,横浜市,資源循環局鶴見工場,211424.37,,無し
神奈川県,横浜市,資源循環局旭工場,136163,,無し
神奈川県,川崎市,浮島処理センター,167648,,無し
神奈川県,川崎市,堤根処理センター,65727,,無し
神奈川県,川崎市,王禅寺処理センター,106566,,無し
神奈川県,相模原市,北清掃工場,69869,,無し
神奈川県,相模原市,南清掃工場,118267,,無し
神奈川県,横須賀市,横須賀ごみ処理施設,95894,,無し
神奈川県,平塚市,環境事業センター,71836,,無し
神奈川県,鎌倉市,鎌倉市名越クリーンセンター,28483,,無し
神奈川県,藤沢市,藤沢市北部環境事業所,38572,,無し
神奈川県,藤沢市,藤沢市石名坂環境事業所,53120.72,,無し
神奈川県,小田原市,小田原市清掃工場,14286,,無し
神奈川県,小田原市,小田原市清掃工場,33924,,無し
神奈川県,茅ヶ崎市,茅ヶ崎市ごみ焼却処理施設,66164,,無し
神奈川県,逗子市,逗子市清掃センターじん芥処理場,16311,,無し
神奈川県,厚木市,厚木市環境センター,61349,,無し
神奈川県,大和市,大和市環境管理センター,53604,,無し
神奈川県,南足柄市,南足柄市清掃工場,9046,,無し
神奈川県,葉山町,葉山町クリ-ンセンタ-,0,休止,無し
神奈川県,箱根町,箱根町環境センター清掃第1プラントごみ処理施設,11432,,無し
神奈川県,愛川町,愛川町美化プラント,0,休止,無し
神奈川県,秦野市伊勢原市環境衛生組合,伊勢原清掃工場,8380,,無し
神奈川県,秦野市伊勢原市環境衛生組合,はだのクリーンセンター,53414,,無し
神奈川県,高座清掃施設組合,高座クリーンセンターじん芥処理施設,69328,,無し
神奈川県,湯河原町真鶴町衛生組合,湯河原町真鶴町衛生組合湯河原美化センター,13126,,無し
神奈川県,足柄東部清掃組合,大井美化センター,9119,,無し
神奈川県,足柄西部清掃組合,足柄西部環境センター,6547,,無し
神奈川県,厚木愛甲環境施設組合,（仮称）厚木愛甲地域ごみ中間処理施設,0,新設（建設中）,無し
新潟県,新潟市,新潟市亀田清掃センター,96568,,無し
新潟県,新潟市,新潟市鎧潟クリーンセンター,17449,,無し
新潟県,新潟市,新潟市新田清掃センター焼却施設,89221.9,,有り
新潟県,長岡市,寿クリーンセンターごみ焼却施設,32575,,有り
新潟県,長岡市,鳥越クリーンセンターごみ焼却施設,22953,,有り
新潟県,三条市,三条市清掃センター流動床式ガス化溶融炉,32363,,有り
新潟県,柏崎市,クリーンセンターかしわざきごみ処理場,23577,,無し
新潟県,小千谷市,時水清掃工場,11902,,無し
新潟県,十日町市,エコクリーンセンター,12976,,無し
新潟県,見附市,見附市清掃センター,10468,,無し
新潟県,村上市,村上市ごみ処理場(エコパークむらかみ),24315,,有り
新潟県,糸魚川市,糸魚川市清掃センターごみ処理施設,12268,,無し
新潟県,妙高市,妙高クリーンセンター,9315,,無し
新潟県,上越市,上越市クリーンセンター,49740,,無し
新潟県,阿賀野市,阿賀野市環境センター,8871,,有り
新潟県,佐渡市,佐渡クリーンセンターごみ焼却施設,15981,,無し
新潟県,佐渡市,灰溶融固形化施設(メルティングセンター佐渡),1924,,無し
新潟県,魚沼市,エコプラント魚沼,16369,,有り
新潟県,南魚沼市,環境衛生センター可燃ごみ処理施設,19399.58,,有り
新潟県,阿賀町,阿賀町クリーンセンター,3167,能力変更,有り
新潟県,粟島浦村,粟島浦村ごみ焼却処理施設,47,,無し
新潟県,津南地域衛生施設組合,津南地域衛生施設組合ごみ処理場,3298,,有り
新潟県,加茂市・田上町消防衛生保育組合,清掃センター,12379,,有り
新潟県,燕・弥彦総合事務組合,燕・弥彦総合事務組合環境センター(流動床炉),11493,,無し
新潟県,燕・弥彦総合事務組合,燕・弥彦総合事務組合・環境センター(ストーカ炉),13893,,無し
新潟県,豊栄郷清掃施設処理組合,豊栄環境センター,16948,,無し
新潟県,新発田地域広域事務組合,中条地区塵芥焼却場,18100,,無し
新潟県,新発田地域広域事務組合,新発田広域クリーンセンター,25050.67,,無し
新潟県,五泉地域衛生施設組合,ごみ焼却場,20901,,無し
富山県,射水市,射水市クリーンピア射水,27830,,無し
富山県,砺波広域圏事務組合,クリーンセンターとなみごみ処理施設,14900,能力変更,有り
富山県,新川広域圏事務組合,新川広域圏事務組合エコぽ～と,31533,,無し
富山県,富山地区広域圏事務組合,富山地区広域圏クリーンセンター,154434,,無し
富山県,高岡地区広域圏事務組合,高岡広域エコ・クリーンセンター,65878,,無し
石川県,金沢市,東部環境エネルギーセンター,41415.24,,無し
石川県,金沢市,西部環境エネルギーセンター,86103.59,,有り
石川県,小松市,エコロジーパークこまつ（クリーンセンター）,25322,,無し
石川県,輪島市,輪島クリーンセンター焼却処理施設,4872,,無し
石川県,加賀市,加賀市環境美化センター加賀ごみ処理施設,19087,,無し
石川県,加賀市,加賀市環境美化センター山中美化センター,0,休止,無し
石川県,能美市,能美市美化センター,13559,能力変更,無し
石川県,能登町,内浦クリーンセンター,0,廃止,無し
石川県,白山野々市広域事務組合,松任石川環境クリーンセンター,50982,,無し
石川県,石川北部アール・ディ・エフ広域処理組合,石川北部RDFセンター,36448,,無し
福井県,福井市,クリーンセンター,63459.25,,無し
福井県,敦賀市,敦賀市清掃センター,21563.06,,無し
福井県,小浜市,小浜市クリーンセンター,14284,,無し
福井県,おおい町,大飯清掃センター,2399,,無し
福井県,美浜・三方環境衛生組合,ガス化溶融施設,5466,,有り
福井県,福井坂井地区広域市町村圏事務組合,清掃センター,46642,,無し
福井県,大野・勝山地区広域行政事務組合,大野・勝山地区広域行政事務組合ごみ処理施設,17380,,有り
福井県,南越清掃組合,第2清掃センター,0,廃止,無し
福井県,南越清掃組合,第１清掃センター,24832,新設（新規稼働）,無し
福井県,鯖江広域衛生施設組合,鯖江広域衛生施設組合　鯖江クリーンセンター　ごみ焼却施設,25454,,有り
山梨県,富士吉田市,富士吉田市環境美化センターごみ処理施設,29724,,無し
山梨県,上野原市,上野原市クリーンセンターごみ焼却施設,4224,,無し
山梨県,山中湖村,山中湖村クリーンセンターごみ焼却施設,3627,,無し
山梨県,峡南衛生組合,峡南衛生組合ごみ処理場,6187,,無し
山梨県,大月都留広域事務組合,可燃ごみ焼却施設,17663,,無し
山梨県,中巨摩地区広域事務組合,中巨摩地区広域事務組合清掃センター,49904,,無し
山梨県,峡北広域行政事務組合,峡北広域環境衛生センター,30570,,無し
山梨県,甲府・峡東地域ごみ処理施設事務組合,甲府・峡東クリーンセンター(エネルギー棟),98674,,無し
長野県,小諸市,クリーンヒルこもろ,7329,,無し
長野県,小海町,小海町草刈久保焼却施設,0,休止,無し
長野県,川上村,川上村営ゴミ処理場,39,廃止,無し
長野県,川上村,川上村・南牧村共同焼却炉,434,,無し
長野県,川西保健衛生施設組合,川西保健衛生施設組合川西清掃センター,0,休止,無し
長野県,葛尾組合,葛尾組合焼却施設,10541,廃止,無し
長野県,佐久市・北佐久郡環境施設組合,佐久平クリーンセンター,29019,,無し
長野県,長野広域連合,ながの環境エネルギーセンター,110607.83,,無し
長野県,長野広域連合,ちくま環境エネルギーセンター,0,新設（建設中）,無し
長野県,湖周行政事務組合,諏訪湖周クリーンセンター,27269,,無し
長野県,穂高広域施設組合,穂高クリーンセンターごみ焼却施設,32962,,無し
長野県,穂高広域施設組合,穂高クリーンセンターごみ焼却施設,0,廃止,無し
長野県,北アルプス広域連合,北アルプスエコパーク,9998,,無し
長野県,北アルプス広域連合,大町市環境プラント,0,廃止, 移管,無し
長野県,木曽広域連合,木曽クリーンセンター,5284,,無し
長野県,南信州広域連合,稲葉クリーンセンター,28899,,無し
長野県,上伊那広域連合,上伊那クリーンセンター,32929,,無し
長野県,上田地域広域連合,上田地域広域連合上田クリーンセンター,29225,,無し
長野県,上田地域広域連合,上田地域広域連合丸子クリーンセンター,6050,,無し
長野県,上田地域広域連合,上田地域広域連合東部クリーンセンター,3724,,無し
長野県,岳北広域行政組合,エコパーク寒川,7033,,無し
長野県,北信保健衛生施設組合,東山クリーンセンター,17291,,無し
長野県,松塩地区広域施設組合,松本クリーンセンター(可燃処理施設),94983,,無し
長野県,諏訪南行政事務組合,諏訪南行政事務組合諏訪南清掃センター,20568,,無し
岐阜県,岐阜市,掛洞プラント,19059,,無し
岐阜県,岐阜市,東部クリーンセンター,103772,,無し
岐阜県,大垣市,大垣市クリーンセンター,44996,,有り
岐阜県,高山市,高山市資源リサイクルセンター焼却施設,19829.2,,有り
岐阜県,高山市,高山市久々野クリーンセンター焼却施設,1485.1,,無し
岐阜県,多治見市,多治見市三の倉センター,46410,,有り
岐阜県,多治見市,多治見市笠原クリーンセンター焼却施設,0,休止,無し
岐阜県,中津川市,中津川市環境センター,24007,,有り
岐阜県,瑞浪市,瑞浪市クリーンセンター,10115,,有り
岐阜県,恵那市,恵那市恵南クリーンセンターあおぞら,0,休止,無し
岐阜県,土岐市,土岐市環境センター,15360,,有り
岐阜県,各務原市,各務原市北清掃センター,40877,,有り
岐阜県,山県市,山県市クリーンセンター,7215,,無し
岐阜県,飛騨市,飛騨市クリーンセンター,5334,,有り
岐阜県,本巣市,真正廃棄物処理施設,0,休止,無し
岐阜県,本巣市,根尾廃棄物処理施設,0,休止,無し
岐阜県,郡上市,郡上クリーンセンター,10594,,有り
岐阜県,下呂市,下呂市クリーンセンター,10666,,有り
岐阜県,垂井町,垂井町クリーンセンター,7923,,有り
岐阜県,可茂衛生施設利用組合,ささゆりクリーンパークエコサイクルプラザ,49473,,無し
岐阜県,南濃衛生施設利用事務組合,南濃衛生施設利用事務組合清掃センター,16127,,無し
岐阜県,西濃環境整備組合,西濃環境保全センター,35702,,無し
岐阜県,西濃環境整備組合,西濃環境保全センター,18066,,無し
岐阜県,中濃地域広域行政事務組合,クリーンプラザ中濃ガス化溶融施設,30788,,無し
静岡県,静岡市,沼上清掃工場,103650,,無し
静岡県,静岡市,沼上清掃工場灰溶融施設,0,休止,無し
静岡県,静岡市,西ケ谷清掃工場,115250,,無し
静岡県,浜松市,浜松市南部清掃工場,122531,,無し
静岡県,浜松市,浜松市浜北清掃センター(90t),0,休止,無し
静岡県,浜松市,浜松市浜北清掃センター(40t),0,休止,無し
静岡県,浜松市,浜松市天竜ごみ処理工場,0,休止,無し
静岡県,浜松市,浜松市はるのクリーンセンター,0,休止,無し
静岡県,浜松市,浜松市水窪・佐久間クリーンセンター,0,休止,無し
静岡県,浜松市,浜松市西部清掃工場,112642,,有り
静岡県,浜松市,（仮）浜松市新清掃工場,0,新設（建設中）,無し
静岡県,沼津市,沼津市清掃プラント,54314,,無し
静岡県,熱海市,熱海市エコ・プラント姫の沢,20525,,有り
静岡県,熱海市,熱海市初島清掃工場廃棄物焼却炉,99,,無し
静岡県,三島市,三島市ごみ処理施設,26930,,無し
静岡県,富士宮市,富士宮市清掃センター,36832,,無し
静岡県,伊東市,伊東市環境美化センター,29282,,有り
静岡県,島田市,田代環境プラザ,30331,,無し
静岡県,富士市,新環境クリーンセンター工場棟,62817,,有り
静岡県,磐田市,磐田市クリーンセンター(3号炉・4号炉),40030,,無し
静岡県,下田市,下田市営じん芥処理場,7920,,無し
静岡県,裾野市,裾野市美化センター,12951,,無し
静岡県,湖西市,湖西市環境センター,0,休止,無し
静岡県,伊豆市,伊豆市清掃センターごみ焼却施設,6386,,無し
静岡県,伊豆の国市,長岡清掃センター,8325,,無し
静岡県,伊豆の国市,韮山ごみ焼却場,3890.31,,無し
静岡県,伊豆の国市,大仁清掃センター,0,休止,無し
静岡県,南伊豆町,南伊豆町清掃センター,2846,,無し
静岡県,松崎町,クリーンピア松崎,2140,,無し
静岡県,西伊豆町,西伊豆町クリーンセンター,2730,,無し
静岡県,函南町,函南町ごみ焼却場,15417,,無し
静岡県,長泉町,長泉町塵芥焼却場,7814,,無し
静岡県,牧之原市御前崎市広域施設組合,牧之原市御前崎市広域施設組合環境保全センター,12827,,無し
静岡県,御殿場市・小山町広域行政組合,富士山エコパーク　焼却センター,30845.27,,有り
静岡県,東河環境センター,エコクリーンセンター東河,8690,,無し
静岡県,伊豆市沼津市衛生施設組合,土肥戸田衛生センター,2556.25,,無し
静岡県,袋井市森町広域行政組合,中遠クリーンセンター,33347,,無し
静岡県,志太広域事務組合,一色清掃工場,15962,,無し
静岡県,志太広域事務組合,高柳清掃工場,44165,,無し
静岡県,吉田町牧之原市広域施設組合,清掃センター,14125,,無し
静岡県,掛川市・菊川市衛生施設組合,環境資源ギャラリー,31153,,有り
静岡県,伊豆市伊豆の国市廃棄物処理施設組合,クリーンセンターいず,0,新設（建設中）,無し
愛知県,名古屋市,名古屋市猪子石工場,132521.51,,無し
愛知県,名古屋市,名古屋市南陽工場,0,休止,無し
愛知県,名古屋市,名古屋市富田工場,112504,,無し
愛知県,名古屋市,名古屋市五条川工場,94848.36,,無し
愛知県,名古屋市,名古屋市鳴海工場,132160.28,,無し
愛知県,名古屋市,名古屋市北名古屋工場,168922,,無し
愛知県,豊橋市,豊橋市資源化センター(焼却施設3号炉),26536,,有り
愛知県,豊橋市,豊橋市資源化センター(焼却施設1・2号炉),86013,,無し
愛知県,岡崎市,岡崎市旧中央クリーンセンターごみ焼却施設(リサイクルプラザ内),0,休止,無し
愛知県,岡崎市,岡崎市八帖クリーンセンターごみ焼却施設2号炉,0,休止,無し
愛知県,岡崎市,岡崎市八帖クリーンセンターごみ焼却施設1号炉,29972,,無し
愛知県,岡崎市,岡崎市中央クリーンセンター　ガス化溶融施設,97325.55,,無し
愛知県,一宮市,一宮市環境センター,102306.25,,無し
愛知県,一宮市,尾西清掃事業所,0,休止,無し
愛知県,半田市,半田市クリーンセンター,25323,,無し
愛知県,春日井市,春日井市クリーンセンター1、2号炉,2826.03,,無し
愛知県,春日井市,春日井市クリーンセンター3、4号炉,77123.81,,無し
愛知県,豊川市,豊川市清掃工場(1、3号炉),27564,,無し
愛知県,豊川市,豊川市清掃工場(5、6号炉),34363,,無し
愛知県,豊田市,藤岡プラント(3号炉),22252,,無し
愛知県,豊田市,渡刈クリーンセンター,99318,,無し
愛知県,安城市,安城市環境クリーンセンター,51527,,無し
愛知県,西尾市,西尾市クリーンセンター(ごみ焼却施設),54052,,無し
愛知県,蒲郡市,蒲郡市クリーンセンター,25091,,有り
愛知県,犬山市,犬山市都市美化センター,17425,,無し
愛知県,稲沢市,稲沢市環境センター,33984,,無し
愛知県,新城市,新城市クリーンセンター,12007,,無し
愛知県,東海市,東海市清掃センター,31628,,無し
愛知県,知多市,知多市清掃センター,19902,,無し
愛知県,田原市,赤羽根環境センター,0,休止,無し
愛知県,田原市,田原リサイクルセンター炭生館,15475,,無し
愛知県,東部知多衛生組合,東部知多クリーンセンター,53462,,無し
愛知県,衣浦衛生組合,衣浦衛生組合クリーンセンター衣浦,37222,,無し
愛知県,常滑武豊衛生組合,常滑武豊衛生組合クリーンセンターごみ処理施設,22117,廃止,無し
愛知県,尾張東部衛生組合,尾張東部衛生組合晴丘センターごみ焼却施設,67036,,無し
愛知県,海部地区環境事務組合,海部地区環境事務組合八穂クリーンセンター,76449,,無し
愛知県,小牧岩倉衛生組合,小牧岩倉衛生組合環境センターごみ溶融施設,44388,,無し
愛知県,知多南部衛生組合,知多南部クリーンセンター(ごみ処理施設),9155,,無し
愛知県,刈谷知立環境組合,刈谷知立環境組合クリーンセンター,61127,,無し
愛知県,江南丹羽環境管理組合,江南丹羽環境管理組合環境美化センター　ごみ焼却処理施設,31220,,無し
愛知県,北設広域事務組合,中田クリーンセンター,0,休止,無し
愛知県,尾三衛生組合,尾三衛生組合東郷美化センター,51542,,無し
愛知県,知多南部広域環境組合,知多南部広域環境センター,13596,新設（建設中）, 新設（新規稼働）,無し
三重県,津市,津市西部クリーンセンター(1号炉),23314,,無し
三重県,津市,津市西部クリーンセンター(2号炉),27881,,無し
三重県,津市,津市クリーンセンターおおたか,36966,,無し
三重県,四日市市,四日市市クリーンセンター,97273,,無し
三重県,松阪市,松阪市クリーンセンター,49371,,無し
三重県,鈴鹿市,鈴鹿市清掃センター,59963,,無し
三重県,尾鷲市,尾鷲市清掃工場,5424,,無し
三重県,亀山市,亀山市総合環境センター,20577,,有り
三重県,鳥羽市,鳥羽市答志島清掃センター,0,廃止,無し
三重県,熊野市,熊野市クリーンセンター(ごみ処理施設),4859,,無し
三重県,いなべ市,あじさいクリーンセンター,11304,,無し
三重県,志摩市,志摩市阿児清掃センター,0,休止,無し
三重県,志摩市,志摩市阿児清掃センター,0,休止,無し
三重県,志摩市,志摩市志摩清掃センター,0,休止,無し
三重県,菰野町,菰野町清掃センター,9988,,無し
三重県,南伊勢町,南勢クリーンセンター,0,休止,無し
三重県,南伊勢町,クリーンセンターなんとう,2962,,無し
三重県,伊賀南部環境衛生組合,伊賀南部クリーンセンター,20221,,有り
三重県,桑名広域清掃事業組合,桑名広域清掃事業組合可燃ごみ焼却施設,43159,,無し
三重県,鳥羽志勢広域連合,やまだエコセンター　高効率ごみ発電施設,22306.78,,無し
三重県,伊勢広域環境組合,可燃ごみ焼却処理施設,53450,,無し
滋賀県,大津市,大津市環境美化センター焼却施設,45424,新設（新規稼働）,無し
滋賀県,大津市,大津市北部クリーンセンター焼却施設,35751,廃止,無し
滋賀県,彦根市,彦根市清掃センター,29246,,無し
滋賀県,近江八幡市,近江八幡市環境エネルギーセンター,21381,,無し
滋賀県,草津市,草津市立クリーンセンター(熱回収施設),32896.54,,無し
滋賀県,守山市,守山市環境センター熱回収施設,8920,新設（新規稼働）,無し
滋賀県,栗東市,栗東市環境センター,16031,,無し
滋賀県,野洲市,野洲クリーンセンター,11963,,無し
滋賀県,高島市,高島市環境センター,13606,休止,無し
滋賀県,湖北広域行政事務センター,湖北広域行政事務センタークリスタルプラザ(焼却施設),37316,,無し
滋賀県,湖北広域行政事務センター,湖北広域行政事務センター伊香クリーンプラザ,0,休止,無し
滋賀県,中部清掃組合,日野清掃センター,39432,,無し
滋賀県,甲賀広域行政組合,甲賀広域行政組合衛生センター第2施設(ごみ処理施設),36299,能力変更,有り
京都府,京都市,旧京都市南部クリーンセンター第一工場,0,廃止,無し
京都府,京都市,京都市北部クリーンセンター,116231,,無し
京都府,京都市,京都市東北部クリーンセンター,81432.3,,無し
京都府,京都市,京都市南部クリーンセンター（焼却施設）,149877.844783526,,無し
京都府,福知山市,福知山市ごみ焼却施設,17270,,有り
京都府,舞鶴市,舞鶴市清掃事務所(第二工場),7196,,無し
京都府,舞鶴市,舞鶴市清掃事務所(第一工場),12945,能力変更,無し
京都府,綾部市,綾部市クリーンセンター,0,休止,無し
京都府,亀岡市,桜塚クリーンセンター,23427,,無し
京都府,京田辺市,環境衛生センター甘南備園焼却施設,15566,,無し
京都府,京丹後市,京丹後市峰山クリーンセンター,6992,,無し
京都府,京丹後市,京丹後市峰山クリーンセンター,7504,,無し
京都府,船井郡衛生管理組合,京都中部クリーンセンター(ごみ処理施設),0,休止,無し
京都府,城南衛生管理組合,城南衛生管理組合クリーン21長谷山,51461,,無し
京都府,城南衛生管理組合,クリーンパーク折居,31810,,無し
京都府,木津川市精華町環境施設組合,環境の森センター・きづがわ,23772,,無し
京都府,乙訓環境衛生組合,150t／日ごみ処理施設,16439,,無し
京都府,乙訓環境衛生組合,75t／日ごみ処理施設,19455,,無し
京都府,相楽東部広域連合,相楽東部クリーンセンター,0,休止,無し
京都府,宮津与謝環境組合,宮津与謝クリーンセンター,4663,,無し
大阪府,堺市,堺市クリーンセンター東工場第二工場,110598.37,,無し
大阪府,堺市,堺市クリーンセンター東工場第一工場,1588.83,休止,無し
大阪府,堺市,堺市クリーンセンター南工場,0,休止,無し
大阪府,堺市,堺市クリーンセンター臨海工場,132630.88,,無し
大阪府,池田市,池田市クリーンセンター,27102,,無し
大阪府,吹田市,吹田市資源循環エネルギーセンター,101928,,無し
大阪府,高槻市,エネルギーセンター第二工場,49647,,無し
大阪府,高槻市,エネルギーセンター第三工場,46742,,無し
大阪府,枚方市,穂谷川清掃工場第3プラント,33610,,無し
大阪府,枚方市,東部清掃工場,56713,,無し
大阪府,茨木市,環境衛生センター第1工場,33635,,有り
大阪府,茨木市,環境衛生センター第2工場,62947,,有り
大阪府,寝屋川市,寝屋川市クリーンセンター焼却施設,53344,,無し
大阪府,箕面市,箕面市環境クリーンセンター,40310,能力変更,無し
大阪府,門真市,クリーンセンター4号炉,15513,,無し
大阪府,門真市,クリーンセンター5号炉,21627,,無し
大阪府,摂津市,環境センター3号炉,15510,,無し
大阪府,摂津市,環境センター4号炉,9886,,無し
大阪府,島本町,島本町清掃工場,6854,,無し
大阪府,忠岡町,忠岡町クリーンセンター,4584,,無し
大阪府,熊取町,熊取町環境センター,11254,,無し
大阪府,岬町,岬町美化センター,5377,,無し
大阪府,豊中市伊丹市クリーンランド,豊中市伊丹市クリーンランドごみ焼却施設,150100,,無し
大阪府,泉北環境整備施設組合,泉北クリーンセンター5号炉,0,休止,無し
大阪府,泉北環境整備施設組合,泉北クリーンセンター1号炉,40765.02,,無し
大阪府,泉北環境整備施設組合,泉北クリーンセンター2号炉,41213.7,,無し
大阪府,柏羽藤環境事業組合,柏羽藤クリーンセンター,77231,,無し
大阪府,泉佐野市田尻町清掃施設組合,泉佐野市田尻町清掃施設組合第二事業所,48748,,無し
大阪府,東大阪都市清掃施設組合,第四工場,64147,,無し
大阪府,東大阪都市清掃施設組合,第五工場,128418,,無し
大阪府,四條畷市交野市清掃施設組合,熱回収施設,31329.94,,無し
大阪府,岸和田市貝塚市清掃施設組合,岸和田市貝塚市クリーンセンター,89791.97,,無し
大阪府,南河内環境事業組合,南河内環境事業組合第1清掃工場,56518,,無し
大阪府,南河内環境事業組合,南河内環境事業組合第2清掃工場,24647,,無し
大阪府,泉南清掃事務組合,泉南清掃事務組合泉南清掃工場,32383,,無し
大阪府,大阪広域環境施設組合,住之江工場,0,新設（建設中）,無し
大阪府,大阪広域環境施設組合,西淀工場,139401,,無し
大阪府,大阪広域環境施設組合,鶴見工場,160161,,無し
大阪府,大阪広域環境施設組合,八尾工場,124346,,無し
大阪府,大阪広域環境施設組合,舞洲工場,213281,,無し
大阪府,大阪広域環境施設組合,平野工場,233246,,無し
大阪府,大阪広域環境施設組合,東淀工場,113525,,無し
兵庫県,神戸市,東クリーンセンター,177098.88,,無し
兵庫県,神戸市,西クリーンセンター,124418.19,,無し
兵庫県,神戸市,港島クリーンセンター,134713.21,,無し
兵庫県,姫路市,市川美化センター,55140,,無し
兵庫県,姫路市,エコパークあぼし,104019.82,,無し
兵庫県,尼崎市,第1工場2号炉,14020,,無し
兵庫県,尼崎市,第1工場1号炉,0,休止,無し
兵庫県,尼崎市,第2工場,113867,,有り
兵庫県,明石市,大久保清掃工場,0,休止,無し
兵庫県,明石市,明石クリーンセンター焼却施設,94346,,有り
兵庫県,西宮市,西部総合処理センター焼却施設,72543,,無し
兵庫県,西宮市,東部総合処理センター焼却施設,66671,,無し
兵庫県,芦屋市,芦屋市環境処理センター,27203,,無し
兵庫県,相生市,美化センター,7932,,無し
兵庫県,加古川市,新クリーンセンター,56896,,無し
兵庫県,赤穂市,ごみ焼却場,14528,,無し
兵庫県,宝塚市,クリーンセンター,54121,,無し
兵庫県,三木市,清掃センター,20675,,有り
兵庫県,三田市,クリーンセンターごみ焼却処理施設,27678.14,,無し
兵庫県,丹波篠山市,清掃センター,15031,,有り
兵庫県,丹波市,丹波市クリーンセンター,12541,,無し
兵庫県,淡路市,夕陽が丘クリーンセンター,15545,,無し
兵庫県,稲美町,稲美町清掃センター,8012,廃止,無し
兵庫県,播磨町,塵芥処理センター,7899,休止,無し
兵庫県,揖龍保健衛生施設事務組合,揖龍クリーンセンター,25014,,無し
兵庫県,洲本市・南あわじ市衛生事務組合,やまなみ苑,26755,,無し
兵庫県,南但広域行政事務組合,南但ごみ処理施設　高効率原燃料回収施設,11938,,無し
兵庫県,西脇多可行政事務組合,ごみ処理施設,14002,,無し
兵庫県,小野加東加西環境施設事務組合,ごみ焼却処理施設1、2号炉,14692,,無し
兵庫県,小野加東加西環境施設事務組合,ごみ焼却処理施設3号炉,18699,,無し
兵庫県,くれさか環境事務組合,くれさかクリーンセンター,15428,,無し
兵庫県,北但行政事務組合,北但ごみ処理施設,35962,,有り
兵庫県,猪名川上流広域ごみ処理施設組合,国崎クリーンセンター,53042,,無し
兵庫県,にしはりま環境事務組合,にしはりまクリーンセンター(熱回収施設),20010,,無し
奈良県,奈良市,奈良市環境清美工場ごみ焼却処理施設,80567,,有り
奈良県,大和高田市,大和高田市クリーンセンター(一般炉),19525,,有り
奈良県,大和郡山市,大和郡山市クリーンセンター・清掃センター,28874,,無し
奈良県,天理市,天理市環境クリーンセンター焼却施設,26610,,無し
奈良県,橿原市,クリーンセンターかしはら,43034,,無し
奈良県,桜井市,桜井市ごみ焼却炉棟,17850,,無し
奈良県,生駒市,生駒市清掃センター,29569,,有り
奈良県,葛城市,葛城市クリーンセンター,11774,,無し
奈良県,宇陀市,宇陀クリーンセンター,4470,,無し
奈良県,平群町,平群町清掃センター,4657,,無し
奈良県,三郷町,三郷町清掃センター,5179,,無し
奈良県,河合町,河合町清掃工場,4803,,無し
奈良県,下市町,下市町紫水苑,0,休止,無し
奈良県,十津川村,十津川村衛生センター,1038,,無し
奈良県,上下北山衛生一部事務組合,上下北山クリンセンター,766,,無し
奈良県,香芝・王寺環境施設組合,美濃園,28100,,無し
奈良県,南和広域衛生組合,南和広域美化センター,5981,,無し
奈良県,東宇陀環境衛生組合,東宇陀クリーンセンター,2901,,無し
奈良県,やまと広域環境衛生事務組合,やまと広域環境衛生事務組合新ごみ処理施設,25831,,無し
奈良県,さくら広域環境衛生組合,未定,0,新設（建設中）,無し
和歌山県,和歌山市,青岸エネルギーセンター,122087.83,,有り
和歌山県,和歌山市,青岸クリーンセンター,0,休止,無し
和歌山県,田辺市,田辺市ごみ処理場(焼却施設),26335,能力変更,無し
和歌山県,新宮市,新宮市クリーンセンター,9342,,無し
和歌山県,岩出市,岩出クリーンセンター,15374,,無し
和歌山県,白浜町,白浜町清掃センター,8156,,有り
和歌山県,すさみ町,すさみ町ゴミ焼却場,1200,,無し
和歌山県,那智勝浦町,那智勝浦町清掃管理事務所(那智勝浦町クリーンセンター),4891,,有り
和歌山県,串本町古座川町衛生施設事務組合,宝嶋クリーンセンター,5502,,無し
和歌山県,御坊広域行政事務組合,御坊広域清掃センター,16617,,有り
和歌山県,上大中清掃施設組合,上大中クリーンセンター,0,廃止,無し
和歌山県,有田周辺広域圏事務組合,有田周辺広域圏事務組合環境センター,13311,,無し
和歌山県,橋本周辺広域市町村圏組合,橋本周辺広域ごみ処理場,22771,,有り
和歌山県,紀の海広域施設組合,紀の海クリーンセンター：エネルギー回収推進施設,33437,,有り
鳥取県,鳥取市,鳥取市神谷清掃工場,54807,,無し
