都道府県名,地方公共団体名,施設名称,年間処理量,施設の改廃,産業廃棄物の搬入の有無
岩手県,一関地区広域行政組合,一関清掃センターごみ焼却施設,22105,,無し
岩手県,一関地区広域行政組合,大東清掃センターごみ焼却施設,10042,,無し
岩手県,宮古地区広域行政組合,宮古清掃センター,28178,,有り
岩手県,奥州金ケ崎行政事務組合,胆江地区衛生センター,35976,,無し
岩手県,岩手中部広域行政組合,岩手中部クリーンセンター,55341,,無し
岩手県,岩手沿岸南部広域環境組合,岩手沿岸南部クリーンセンター,27967,,無し
岩手県,滝沢・雫石環境組合,滝沢清掃センター,23273,,有り
岩手県,滝沢・雫石環境組合,雫石清掃センター,0,休止,無し
宮城県,仙台市,葛岡工場,108841,,無し
宮城県,仙台市,今泉工場,82497,,無し
宮城県,仙台市,松森工場,133019.02,,無し
宮城県,塩竈市,塩竈市清掃工場,20189,,無し
宮城県,気仙沼市,気仙沼市ごみ焼却場,17237,,無し
宮城県,登米市,登米市環境事業所クリーンセンター（新）,19600,,無し
宮城県,栗原市,栗原市クリーンセンター可燃ごみ処理施設,16681,,無し
宮城県,黒川地域行政事務組合,環境管理センター,14078,,無し
宮城県,亘理名取共立衛生処理組合,亘理清掃センター,0,休止,無し
宮城県,亘理名取共立衛生処理組合,岩沼東部環境センター,46721,,無し
宮城県,宮城東部衛生処理組合,宮城東部衛生処理センターごみ焼却施設,39496,,無し
宮城県,石巻地区広域行政事務組合,石巻広域クリーンセンター,57734,,有り
宮城県,仙南地域広域行政事務組合,仙南地域広域行政事務組合仙南クリーンセンター,46694,,無し
宮城県,大崎地域広域行政事務組合,大崎広域東部クリーンセンター,23491,,無し
宮城県,大崎地域広域行政事務組合,大崎広域西部加美クリーンセンター,0,休止,無し
宮城県,大崎地域広域行政事務組合,大崎広域西部玉造クリーンセンター,5692.81,,無し
宮城県,大崎地域広域行政事務組合,大崎広域中央クリーンセンター,32043.13,,無し
秋田県,秋田県,秋田県県北地区広域汚泥資源化施設,6940,,有り
秋田県,秋田市,秋田市総合環境センター溶融施設,98176.84,,無し
秋田県,横手市,クリーンプラザよこて,24642,,無し
秋田県,大館市,大館クリーンセンター,13785,,無し
秋田県,由利本荘市,本荘清掃センター焼却施設,22923,,無し
秋田県,潟上市,潟上市クリーンセンター,9953,,無し
秋田県,北秋田市,北秋田市クリーンリサイクルセンター,10945,,無し
秋田県,にかほ市,にかほ市環境プラザ,7132,,無し
秋田県,湯沢雄勝広域市町村圏組合,湯沢雄勝クリーンセンター,19685.44,,無し
秋田県,能代山本広域市町村圏組合,能代山本広域市町村圏組合南部清掃工場,23109,,無し
秋田県,大曲仙北広域市町村圏組合,大曲仙北広域中央ごみ処理センター,34335,,無し
秋田県,大曲仙北広域市町村圏組合,大曲仙北広域北部ごみ処理センター,7792,,無し
秋田県,鹿角広域行政組合,鹿角ごみ処理場　焼却場,11819,,無し
秋田県,八郎湖周辺清掃事務組合,八郎湖周辺クリーンセンター熱回収施設,12964,,無し
