都道府県名,地方公共団体名,施設名称,年間処理量,資源回収量,処理対象廃棄物,処理方式,施設の改廃,産業廃棄物の搬入の有無,リユース・リペア機能・内容,
北海道,南部桧山衛生処理組合,南部桧山清掃センター,2046,174,粗大ごみ・不燃ごみ・資源ごみ,併用,,無し,機能なし
北海道,渡島西部広域事務組合,渡島西部衛生センターごみ再生処理施設,646,310,粗大ごみ・不燃ごみ,破砕,,無し,機能なし
北海道,日高中部衛生施設組合,日高中部環境センター,1058,139,粗大ごみ・不燃ごみ,破砕,,無し,機能なし
北海道,愛別町外3町塵芥処理組合,愛別町外3町塵芥処理組合富沢衛生センター,2236,326,粗大ごみ・不燃ごみ,破砕,,有り,修理・譲渡
北海道,西いぶり広域連合,西胆振地域廃棄物広域処理施設,7221,1121,粗大ごみ・不燃ごみ,破砕,,無し,機能なし
北海道,南部後志衛生施設組合,南後志清掃センター,375,214,粗大ごみ・不燃ごみ・その他,併用,,無し,機能なし
北海道,大雪清掃組合,しらかば清掃センター,1418,297,粗大ごみ・不燃ごみ,併用,,無し,機能なし
北海道,平取町外2町衛生施設組合,平取町外2町衛生施設組合清掃センター第2工場(破砕),420,190,粗大ごみ・不燃ごみ,破砕,,無し,機能なし
北海道,留萌南部衛生組合,留萌南部衛生組合資源化施設,484,108,粗大ごみ・その他・混合（未分別）ごみ,併用,,無し,機能なし
北海道,西紋別地区環境衛生施設組合,西紋別地区広域ごみ処理センター,566,147,粗大ごみ・不燃ごみ・資源ごみ,併用,,無し,機能なし
青森県,青森市,青森市清掃工場,1492,0,粗大ごみ・不燃ごみ,破砕,,無し,機能なし
青森県,三沢市,三沢市粗大ごみ処理施設,1089,322,粗大ごみ・不燃ごみ,併用,,無し,機能なし
青森県,黒石地区清掃施設組合,環境管理センター粗大ごみ処理施設,3662,533,粗大ごみ・不燃ごみ,併用,,無し,機能なし
青森県,三戸地区環境整備事務組合,三戸地区粗大ごみ処理施設,799,186,粗大ごみ・不燃ごみ,破砕,,無し,機能なし
青森県,十和田地域広域事務組合,十和田地域広域事務組合十和田粗大ごみ処理施設,2156,604,粗大ごみ・不燃ごみ・資源ごみ,併用,,無し,機能なし
岩手県,盛岡市,粗大ごみ処理施設,6355,1095,粗大ごみ・不燃ごみ,併用,,無し,機能なし
岩手県,花巻市,花巻市清掃センター粗大ごみ処理施設,1080,322,粗大ごみ・不燃ごみ,併用,,無し,機能なし
岩手県,北上市,北上市清掃事業所3号棟,1051,270.91,不燃ごみ,破砕,,無し,機能なし
岩手県,遠野市,遠野市清養園クリーンセンター廃棄物再生利用施設,577,263,粗大ごみ・不燃ごみ,併用,,無し,機能なし
岩手県,陸前高田市,陸前高田市粗大ごみ処理施設,210,,不燃ごみ・資源ごみ,破砕,,無し,機能なし
岩手県,八幡平市,粗大ごみ処理施設,773,300,粗大ごみ・不燃ごみ,併用,,無し,機能なし
岩手県,二戸地区広域行政事務組合,二戸地区クリーンセンター,1493,496,粗大ごみ・不燃ごみ・資源ごみ,併用,,無し,機能なし
岩手県,岩手・玉山環境組合,粗大ごみ処理施設,382,163,粗大ごみ・不燃ごみ,併用,,無し,機能なし
岩手県,久慈広域連合,久慈地区粗大ごみ処理場,985,402,粗大ごみ・不燃ごみ,併用,,無し,機能なし
岩手県,一関地区広域行政組合,一関清掃センターごみ焼却施設粗大ごみ処理施設(前処理用),575,0,粗大ごみ,破砕,,無し,機能なし
岩手県,一関地区広域行政組合,大東清掃センター粗大ごみ処理施設,1620,1279,粗大ごみ・不燃ごみ・資源ごみ,併用,,無し,機能なし
岩手県,奥州金ケ崎行政事務組合,胆江地区衛生センター,1950,182,粗大ごみ・不燃ごみ,併用,,無し,譲渡
岩手県,岩手沿岸南部広域環境組合,岩手沿岸南部クリーンセンター,730,128,粗大ごみ・不燃ごみ・可燃ごみ,破砕,,無し,機能なし
岩手県,滝沢・雫石環境組合,滝沢清掃センター,1903.55,,粗大ごみ,破砕,,有り,機能なし
宮城県,仙台市,葛岡粗大ごみ処理施設,16794,2607,粗大ごみ,併用,,無し,機能なし
宮城県,仙台市,今泉粗大ごみ処理施設,13652,82.57,粗大ごみ,破砕,,無し,機能なし
宮城県,気仙沼市,気仙沼市粗大ごみ処理場,2351,871,粗大ごみ・不燃ごみ・資源ごみ,併用,,無し,機能なし
宮城県,登米市,登米市環境事業所クリーンセンター（新）,3622,629,粗大ごみ・不燃ごみ,破砕,,無し,機能なし
宮城県,栗原市,栗原市クリーンセンター粗大ごみ処理施設,1852,258,粗大ごみ・不燃ごみ,併用,,無し,機能なし
宮城県,富谷市,富谷市清掃センター粗大ごみ処理施設,811,118,粗大ごみ・資源ごみ,併用,,無し,機能なし
宮城県,黒川地域行政事務組合,環境管理センター,1163,557,粗大ごみ・不燃ごみ・資源ごみ,併用,,無し,機能なし
宮城県,亘理名取共立衛生処理組合,亘理清掃センター,420,330,粗大ごみ・資源ごみ,併用,,無し,機能なし
宮城県,亘理名取共立衛生処理組合,岩沼東部環境センター,2917,759,粗大ごみ・資源ごみ,併用,,無し,機能なし
宮城県,宮城東部衛生処理組合,宮城東部衛生処理センター粗大ごみ処理施設,1983,247,粗大ごみ・不燃ごみ,破砕,,無し,機能なし
宮城県,仙南地域広域行政事務組合,仙南地域広域行政事務組合仙南リサイクルセンター,490,,粗大ごみ・不燃ごみ・資源ごみ,併用,,無し,機能なし
宮城県,大崎地域広域行政事務組合,大崎広域リサイクルセンター,4662.89,2726,粗大ごみ・不燃ごみ・資源ごみ,併用,,無し,展示・譲渡
秋田県,秋田市,秋田市第2リサイクルプラザ,587.09,389.55,粗大ごみ・不燃ごみ,破砕,,無し,機能なし
秋田県,秋田市,秋田市総合環境センター前処理破砕処理施設,3396.96,,粗大ごみ・可燃ごみ,破砕,,無し,機能なし
秋田県,大館市,大館市粗大ごみ処理場,3313,135,粗大ごみ・不燃ごみ,破砕,,無し,機能なし
秋田県,由利本荘市,清掃事業所焼却施設,1968,446,粗大ごみ・不燃ごみ・資源ごみ,併用,,無し,機能なし
秋田県,潟上市,潟上市クリーンセンター粗大ごみ処理施設,881,344,粗大ごみ・不燃ごみ,併用,,無し,機能なし
秋田県,北秋田市,北秋田市クリーンリサイクルセンター,0,0,不燃ごみ・資源ごみ,併用,,無し,機能なし
秋田県,北秋田市上小阿仁村生活環境施設組合,破砕施設,227,0,粗大ごみ・可燃ごみ,破砕,,無し,機能なし
秋田県,能代山本広域市町村圏組合,能代山本広域市町村圏組合北部粗大ごみ処理工場,1207,,粗大ごみ・不燃ごみ,併用,,無し,機能なし
秋田県,大曲仙北広域市町村圏組合,大曲仙北広域北部ごみ処理センター　粗大ごみ処理施設,685,199,粗大ごみ・不燃ごみ・可燃ごみ・資源ごみ,併用,,無し,機能なし
秋田県,鹿角広域行政組合,鹿角ごみ処理場　破砕処理場,,,粗大ごみ・不燃ごみ・混合（未分別）ごみ・可燃ごみ・資源ごみ,破砕,新設（建設中）,無し,機能なし
秋田県,八郎湖周辺清掃事務組合,八郎湖周辺クリーンセンターリサイクル施設,870,163,粗大ごみ・不燃ごみ・可燃ごみ,破砕,,無し,機能なし
山形県,東根市外二市一町共立衛生処理組合,東根市外二市一町共立衛生処理組合粗大ごみ処理施設,2074,621,粗大ごみ・不燃ごみ,破砕,,無し,機能なし
山形県,東根市外二市一町共立衛生処理組合,東根市外二市一町共立衛生処理組合ごみ焼却前処理施設,229,,可燃ごみ,破砕,,無し,機能なし
山形県,山形広域環境事務組合,立谷川リサイクルセンター,3482,1198,粗大ごみ・不燃ごみ,併用,,無し,機能なし
