都道府県名,地方公共団体名,施設名,埋め立て済み割合,埋立場所,処理対象廃棄物,全体容積(m3),処分場の現状
北海道,北広島市,北広島市一般廃棄物最終処分場,68,山間,混合・直接搬入ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,464900,埋立中
北海道,石狩市,石狩市一般廃棄物埋立処分場,100,平地,不燃ごみ・その他,45479,埋立終了
北海道,当別町,当別町蕨岱廃棄物処理場,100,平地,不燃ごみ,92752,埋立終了
北海道,松前町,松前町清掃センター,88,山間,破砕ごみ・中間処理残査・焼却残渣,5083,埋立中
北海道,上磯町,上磯町一般廃棄物最終処分場,63,山間,不燃ごみ・焼却残渣,98000,埋立中
北海道,上磯町,上磯町ゴミ埋立地,100,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,58575,埋立終了
北海道,大野町,大野町一般廃棄物最終処分場,51,山間,可燃ごみ・不燃ごみ・直接搬入ごみ・破砕ごみ・中間処理残査,92700,埋立中
北海道,七飯町,七飯町一般廃棄物最終処分場（クリーンセンター）,76,山間,不燃ごみ・直接搬入ごみ・焼却残渣,44850,埋立中
北海道,南茅部町,南茅部町クリーンセンター,16,平地,破砕ごみ・中間処理残査・焼却残渣,17400,埋立中
北海道,鹿部町,鹿部町廃棄物最終処分場,95,山間,不燃ごみ・直接搬入ごみ・粗大ごみ,9000,埋立中
北海道,鹿部町,鹿部町一般廃棄物最終処分場,7,山間,不燃ごみ・粗大ごみ・焼却残渣,11400,埋立中
北海道,砂原町,砂原町最終処分場,99,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,70000,埋立中
北海道,森町,森町じん芥処理場,90,山間,不燃ごみ・その他・直接搬入ごみ・粗大ごみ・焼却残渣,541000,埋立中
北海道,八雲町,八雲町熱田不燃物捨場,100,山間,不燃ごみ・破砕ごみ・中間処理残査・焼却残渣,100000,埋立中
北海道,八雲町,八雲町一般廃棄物最終処分場,0,山間,不燃ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,28000,埋立前
北海道,長万部町,長万部町清掃センター,37,平地,不燃ごみ・その他,149999,埋立中
北海道,奥尻町,奥尻町不燃物埋立場,89,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,95000,埋立中
北海道,蘭越町,蘭越町一般廃棄物最終処分場,78,平地,混合・直接搬入ごみ・焼却残渣,1911,埋立中
北海道,ニセコ町,ニセコ町羊蹄じん芥処理場,99,山間,混合・直接搬入ごみ・粗大ごみ・焼却残渣,450000,埋立中
北海道,真狩村,真狩村一般廃棄物最終処分場,74,山間,不燃ごみ・粗大ごみ・焼却残渣,5555,埋立中
北海道,留寿都村,留寿都村ゴミ捨場,24,山間,その他・直接搬入ごみ・焼却残渣,120000,埋立中
北海道,喜茂別町,喜茂別町富士見台塵芥処理場,90,山間,不燃ごみ・その他・直接搬入ごみ・粗大ごみ・焼却残渣,5918,埋立中
北海道,京極町,京極町共同ゴミ処理場,97,山間,混合・直接搬入ごみ・粗大ごみ,336000,埋立中
北海道,倶知安町,倶知安町一般廃棄物最終処分場,51,山間,不燃ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,53600,埋立中
北海道,共和町,共和町小沢十号ゴミ最終処分場,23,山間,混合・粗大ごみ,428025,埋立終了
北海道,岩内町,岩内町ごみ捨場,100,平地,不燃ごみ・粗大ごみ・破砕ごみ・中間処理残査・焼却残渣,61500,埋立終了
北海道,神恵内村,神恵内村最終処分場,100,山間,不燃ごみ・粗大ごみ,4000,埋立終了
北海道,積丹町,積丹町塵芥処理場美国埋立地,98,山間,不燃ごみ・焼却残渣,81628,埋立終了
北海道,古平町,古平町じん芥処理場,93,山間,直接搬入ごみ,30600,埋立中
北海道,仁木町,仁木町クリーンセンター,18,山間,不燃ごみ・直接搬入ごみ・粗大ごみ・焼却残渣,10700,埋立中
北海道,余市町,余市町クリーンセンター,16,山間,直接搬入ごみ・粗大ごみ,54500,埋立中
北海道,余市町,余市町登新生不燃物粗大ゴミ埋立処理場,100,山間,直接搬入ごみ・粗大ごみ,10931,埋立終了
北海道,赤井川村,赤井川村じん芥処理場,19,山間,不燃ごみ・粗大ごみ・焼却残渣,17200,埋立中
北海道,北村,北村農産廃棄物処理施設焼却灰処分場,24,平地,焼却残渣,2430,埋立中
北海道,上砂川町,上砂川町一般廃棄物最終処分場,0,山間,混合・粗大ごみ,28500,埋立前
北海道,上砂川町,上砂川町市街じん芥処理場,71,山間,混合・粗大ごみ,200000,埋立中
北海道,栗山町,栗山町環境センター,73,山間,混合・その他・直接搬入ごみ・粗大ごみ,159905,埋立中
北海道,月形町,月形町衛生センター,46,平地,混合・直接搬入ごみ・粗大ごみ,67900,埋立中
北海道,浦臼町,浦臼町地力増進施設埋立処分地,92,山間,混合・可燃ごみ・不燃ごみ・破砕ごみ・中間処理残査・焼却残渣,96000,埋立中
北海道,浦臼町,浦臼町一般廃棄物最終処分場,0,山間,不燃ごみ・焼却残渣,13800,埋立前
北海道,新十津川町,新十津川町一般産業廃棄物最終処分場,90,平地,可燃ごみ・不燃ごみ・直接搬入ごみ・粗大ごみ,103000,埋立中
北海道,雨竜町,雨竜町一般廃棄物最終処分場,54,山間,混合・可燃ごみ・不燃ごみ・資源・直接搬入ごみ・粗大ごみ,32000,埋立中
北海道,幌加内町,幌加内町塵芥処理場,39,山間,焼却残渣,2976,埋立中
